CP3,Northing,Easting,Elevation
dem1182,4483191.682,343975.831,2055.536
dem1183,4483191.043,343976.984,2055.462
dem1184,4483190.395,343978.135,2055.375
dem1185,4483189.647,343979.257,2055.273
dem1186,4483188.905,343980.358,2055.234
dem1187,4483188.243,343981.486,2055.186
dem1188,4483187.629,343982.585,2055.133
dem1189,4483186.906,343983.653,2055.043
dem1190,4483186.225,343984.775,2054.978
dem1191,4483185.554,343985.88,2054.939
dem1192,4483184.981,343987.03,2054.899
dem1193,4483184.293,343988.073,2054.9
dem1194,4483183.592,343989.092,2054.833
dem1195,4483182.738,343990.156,2054.707
dem1196,4483181.905,343991.104,2054.621
dem1197,4483181.071,343992.094,2054.576
dem1198,4483180.235,343993.067,2054.534
dem1199,4483179.357,343994,2054.491
dem1200,4483178.48,343994.899,2054.383
dem1201,4483177.508,343995.912,2054.192
dem1202,4483176.498,343996.703,2054.142
dem1203,4483175.45,343996.849,2054.171
dem1204,4483174.834,343995.937,2054.233
dem1205,4483175.196,343994.789,2054.344
dem1206,4483175.829,343993.681,2054.416
dem1207,4483176.401,343992.549,2054.523
dem1208,4483176.948,343991.381,2054.679
dem1209,4483177.448,343990.254,2054.833
dem1210,4483177.91,343989.149,2054.874
dem1211,4483178.418,343988.067,2054.985
dem1212,4483179.023,343987.003,2055.097
dem1213,4483179.674,343985.971,2055.142
dem1214,4483180.207,343984.945,2055.27
dem1215,4483180.847,343983.783,2055.377
dem1216,4483181.409,343982.624,2055.441
dem1217,4483181.952,343981.667,2055.726
dem1218,4483182.487,343980.56,2055.873
dem1219,4483183.084,343979.62,2055.951
dem1220,4483183.726,343978.626,2055.94
dem1221,4483184.422,343977.549,2055.93
dem1222,4483185.087,343976.462,2055.93
dem1223,4483185.751,343975.414,2056.04
dem1224,4483186.452,343974.292,2056.063
dem1225,4483187.281,343973.322,2056.093
dem1226,4483187.933,343972.389,2056.156
dem1227,4483188.253,343971.242,2056.121
dem1228,4483187.85,343970.307,2056.207
dem1229,4483187.123,343969.875,2056.439
dem1230,4483186.21,343970.247,2056.423
dem1231,4483185.35,343971.124,2056.392
dem1232,4483184.546,343972.151,2056.427
dem1233,4483183.735,343973.156,2056.391
dem1234,4483182.892,343974.152,2056.337
dem1235,4483182.147,343975.285,2056.259
dem1236,4483181.423,343976.41,2056.243
dem1237,4483180.666,343977.429,2056.291
dem1238,4483179.894,343978.504,2056.213
dem1239,4483179.063,343979.581,2056.102
dem1240,4483178.236,343980.604,2056.006
dem1241,4483177.35,343981.509,2056.003
dem1242,4483176.58,343982.395,2055.95
dem1243,4483175.78,343983.509,2055.757
dem1244,4483175.139,343984.49,2055.665
dem1245,4483174.513,343985.423,2055.572
dem1246,4483173.722,343986.476,2055.489
dem1247,4483172.917,343987.426,2055.39
dem1248,4483172.153,343988.4,2055.271
dem1249,4483171.261,343989.39,2055.012
dem1250,4483170.453,343990.46,2054.935
dem1251,4483169.609,343991.462,2054.88
dem1252,4483168.71,343992.503,2054.776
dem1253,4483167.911,343993.508,2054.517
dem1254,4483167.347,343994.562,2054.327
dem1255,4483166.715,343995.462,2054.317
